video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,mediapipe,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453210,0.496484,0.456431,0.747467,19.627437,18.554000,24.649800,52.227239,50.949087,
MP_R_DudukBerdiri_2,mediapipe,multi,dim,150,132,0,18,0.880000,1538,568,238,0.082730,0.000005,0.087313,0.154746,23.309365,26.626100,28.296700,44.670581,42.901212,
MP_R_Jongkok_1,mediapipe,multi,dim,126,126,0,0,1.000000,1512,110,1338,0.711017,0.747085,0.711017,0.884921,18.526803,18.351150,19.295600,54.108693,53.975853,
MP_R_Jongkok_2,mediapipe,multi,dim,139,137,0,2,0.985612,1668,286,1222,0.481028,0.495121,0.481028,0.732614,19.207053,18.403800,26.958500,52.714036,52.064209,
MP_R_PushUp_1,mediapipe,multi,dim,77,76,0,1,0.987013,557,34,485,0.566544,0.601285,0.577027,0.870736,19.065783,18.407500,27.756900,53.072259,52.449983,
MP_R_PushUp_2,mediapipe,multi,dim,91,74,0,17,0.813187,728,325,67,0.046916,0.017537,0.046916,0.092033,18.792063,18.868000,19.678200,53.270426,53.213956,
MP_R_Yoga_1,mediapipe,multi,dim,182,38,0,144,0.208791,2361,1885,466,0.131742,0.000000,0.132021,0.197374,10.778311,8.716650,18.645600,102.137303,92.778915,
MP_R_Yoga_2,mediapipe,multi,dim,173,153,0,20,0.884393,2249,468,975,0.310411,0.088856,0.310411,0.433526,18.860417,19.100900,20.497100,54.117607,53.021096,
MP_T_DudukBerdiri_1,mediapipe,multi,bright,148,148,0,0,1.000000,1771,49,1602,0.648305,0.686865,0.647916,0.904574,22.935951,20.007350,29.134500,45.151943,43.599675,
MP_T_DudukBerdiri_2,mediapipe,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055640,0.000598,0.056499,0.091338,19.078232,18.983000,20.475600,52.504313,52.415759,
MP_T_Jongkok_1,mediapipe,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811452,0.909346,0.811452,0.913194,22.059881,19.474450,28.604100,46.942739,45.331160,
MP_T_Jongkok_2,mediapipe,multi,bright,208,145,63,0,0.697115,1740,264,681,0.218183,0.189580,0.218183,0.391379,20.202221,19.229850,28.461400,50.350902,49.499508,
MP_T_PushUp_1,mediapipe,multi,bright,76,76,0,0,1.000000,532,15,505,0.779610,0.779539,0.780417,0.949248,28.400149,28.436500,29.730200,35.267475,35.211083,
MP_T_PushUp_2,mediapipe,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074702,0.062447,0.074702,0.148321,23.321550,23.967000,29.227500,44.493994,42.878797,
MP_T_Yoga_1,mediapipe,multi,bright,171,171,0,0,1.000000,2223,82,1706,0.615061,0.754814,0.615061,0.767431,27.268588,27.055800,28.737900,36.730526,36.672233,
MP_T_Yoga_2,mediapipe,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547270,0.740886,0.547270,0.635247,18.927906,18.638100,20.390600,53.037191,52.832046,
SP_R_DudukBerdiri_1,mediapipe,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473472,0.498982,0.473472,0.772727,18.951783,18.938100,20.271600,52.830764,52.765485,
SP_R_DudukBerdiri_2,mediapipe,single,dim,128,113,0,15,0.882812,1536,329,1094,0.526946,0.586000,0.526946,0.712240,19.968283,18.868400,27.889800,51.383620,50.079419,
SP_R_Jongkok_1,mediapipe,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852803,0.860100,0.852803,0.993119,19.123415,19.021300,20.220300,52.408405,52.291916,
SP_R_Jongkok_2,mediapipe,single,dim,169,169,0,0,1.000000,2028,277,1702,0.589537,0.601884,0.589537,0.839250,18.972469,18.996500,19.922300,52.770749,52.707952,
SP_R_PushUp_1,mediapipe,single,dim,85,74,0,11,0.870588,647,127,479,0.433671,0.420984,0.471785,0.740340,19.489891,19.096600,27.179200,52.152937,51.308651,
SP_R_PushUp_2,mediapipe,single,dim,130,97,0,33,0.746154,1214,512,563,0.343466,0.452149,0.356976,0.463756,18.444602,18.833700,26.600700,57.805084,54.216403,
SP_R_Yoga_1,mediapipe,single,dim,115,115,0,0,1.000000,1487,64,1383,0.775905,0.838164,0.776504,0.930061,22.991054,19.660700,28.948200,45.347522,43.495179,
SP_R_Yoga_2,mediapipe,single,dim,175,148,0,27,0.845714,2275,399,1851,0.697672,0.840812,0.697672,0.813626,17.443923,18.670100,19.965700,61.312694,57.326553,
SP_T_DudukBerdiri_1,mediapipe,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824354,0.841626,0.824354,1.000000,19.104156,19.076700,20.163400,52.395097,52.344632,
SP_T_DudukBerdiri_2,mediapipe,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761746,0.759380,0.761746,0.992537,19.004188,18.994650,20.233400,52.695608,52.619980,
SP_T_Jongkok_1,mediapipe,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907167,0.901847,1.000000,19.216346,19.116500,20.176100,52.193970,52.039030,
SP_T_Jongkok_2,mediapipe,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791015,0.862046,0.791015,0.953448,19.169438,19.179600,20.362600,52.231384,52.166370,
SP_T_PushUp_1,mediapipe,single,bright,124,124,0,0,1.000000,998,15,978,0.849919,0.865573,0.851779,0.979960,19.256624,19.114250,20.274600,52.063422,51.930182,
SP_T_PushUp_2,mediapipe,single,bright,128,128,0,0,1.000000,1190,186,937,0.580692,0.648793,0.599484,0.787395,19.289973,19.303900,20.487700,51.920415,51.840403,
SP_T_Yoga_1,mediapipe,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893792,0.892489,0.893792,0.998077,19.100983,18.992600,19.952700,52.561900,52.353328,
SP_T_Yoga_2,mediapipe,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917608,0.914809,0.917608,1.000000,18.989719,18.956600,20.142000,52.761484,52.660075,
MP_R_DudukBerdiri_1,mediapipe,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453138,0.496289,0.456359,0.747467,27.902950,27.388300,29.561600,36.110391,35.838504,
MP_R_DudukBerdiri_1,mediapipe,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453138,0.496289,0.456359,0.747467,28.808548,27.866500,38.650600,35.021039,34.711920,
MP_R_DudukBerdiri_2,mediapipe,multi,dim,150,133,0,17,0.886667,1538,558,249,0.087171,0.000013,0.092033,0.161899,35.344429,40.154450,44.532200,29.569803,28.293002,
MP_R_Jongkok_1,mediapipe,multi,dim,126,126,0,0,1.000000,1512,111,1337,0.710484,0.747081,0.710484,0.884259,27.650161,27.489150,28.549500,36.226382,36.166155,
MP_R_Jongkok_2,mediapipe,multi,dim,139,137,0,2,0.985612,1668,286,1226,0.481212,0.491254,0.481212,0.735012,30.065929,28.506700,41.320500,33.794171,33.260240,
MP_R_PushUp_1,mediapipe,multi,dim,77,76,0,1,0.987013,557,34,485,0.566718,0.601313,0.577195,0.870736,28.856409,28.046400,41.174300,34.999043,34.654347,
MP_R_PushUp_2,mediapipe,multi,dim,91,74,0,17,0.813187,728,324,67,0.046907,0.017469,0.046907,0.092033,27.428951,27.335200,28.453500,36.472273,36.457829,
MP_R_Yoga_1,mediapipe,multi,dim,182,182,0,0,1.000000,2361,25,2150,0.660344,0.662596,0.660053,0.910631,27.370444,27.267150,28.356900,36.548182,36.535761,
MP_R_Yoga_2,mediapipe,multi,dim,173,158,0,15,0.913295,2249,407,1040,0.333970,0.138980,0.333970,0.462428,27.327158,27.308700,28.618200,36.695261,36.593634,
MP_T_DudukBerdiri_1,mediapipe,multi,bright,148,148,0,0,1.000000,1771,49,1603,0.648399,0.686964,0.648009,0.905138,29.921419,27.652500,41.920100,34.193153,33.420875,
MP_T_DudukBerdiri_2,mediapipe,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055633,0.000599,0.056492,0.091338,27.666650,27.616800,28.589300,36.158140,36.144601,
MP_T_Jongkok_1,mediapipe,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811523,0.909387,0.811523,0.913194,31.882295,27.906150,41.333200,32.406309,31.365371,
MP_T_Jongkok_2,mediapipe,multi,bright,208,145,63,0,0.697115,1740,264,685,0.216616,0.189612,0.216616,0.393678,30.557857,27.863700,41.186500,33.563026,32.724808,
MP_T_PushUp_1,mediapipe,multi,bright,76,76,0,0,1.000000,532,15,505,0.779557,0.779448,0.780368,0.949248,41.378388,41.158500,43.578400,24.199710,24.167205,
MP_T_PushUp_2,mediapipe,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074566,0.062480,0.074566,0.148321,35.043140,39.473350,42.344500,29.527154,28.536256,
MP_T_Yoga_1,mediapipe,multi,bright,171,171,0,0,1.000000,2223,79,1706,0.615140,0.754812,0.615140,0.767431,41.021377,40.906200,42.390700,24.409160,24.377534,
MP_T_Yoga_2,mediapipe,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547236,0.742995,0.547236,0.635247,29.054180,27.805300,40.315200,35.109437,34.418455,
SP_R_DudukBerdiri_1,mediapipe,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473454,0.499239,0.473454,0.772727,51.473345,57.790600,64.747200,21.059387,19.427531,
SP_R_DudukBerdiri_2,mediapipe,single,dim,128,113,0,15,0.882812,1536,332,1091,0.526039,0.584653,0.526039,0.710286,36.263274,33.571400,52.086300,28.716601,27.576109,
SP_R_Jongkok_1,mediapipe,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852832,0.860132,0.852832,0.993119,40.787960,34.602700,63.724100,26.518588,24.517039,
SP_R_Jongkok_2,mediapipe,single,dim,169,169,0,0,1.000000,2028,274,1702,0.586684,0.591134,0.586684,0.839250,34.401620,32.666100,45.056100,29.730085,29.068399,
SP_R_PushUp_1,mediapipe,single,dim,85,74,0,11,0.870588,647,127,479,0.432657,0.402457,0.470988,0.740340,36.607822,33.361800,58.883600,28.623844,27.316566,
SP_R_PushUp_2,mediapipe,single,dim,130,96,0,34,0.738462,1214,518,559,0.342881,0.454187,0.356353,0.460461,33.161323,32.648400,47.768000,32.284811,30.155612,
SP_R_Yoga_1,mediapipe,single,dim,115,115,0,0,1.000000,1487,59,1397,0.781808,0.835942,0.782476,0.939475,44.806309,40.506600,79.842300,24.303583,22.318286,
SP_R_Yoga_2,mediapipe,single,dim,175,148,0,27,0.845714,2275,398,1852,0.697760,0.839652,0.697760,0.814066,30.050502,28.970600,41.959300,35.629473,33.277314,
SP_T_DudukBerdiri_1,mediapipe,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824344,0.841592,0.824344,1.000000,27.787767,27.645950,29.143500,36.009967,35.987058,
SP_T_DudukBerdiri_2,mediapipe,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761753,0.759317,0.761753,0.992537,27.766526,27.760200,28.665900,36.025523,36.014588,
SP_T_Jongkok_1,mediapipe,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907155,0.901847,1.000000,27.646735,27.594350,28.678800,36.186323,36.170637,
SP_T_Jongkok_2,mediapipe,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791071,0.862048,0.791071,0.953448,27.498597,27.355700,28.497500,36.380077,36.365491,
SP_T_PushUp_1,mediapipe,single,bright,124,124,0,0,1.000000,998,15,979,0.850056,0.865601,0.851910,0.980962,28.033540,27.932100,28.966300,35.727240,35.671556,
SP_T_PushUp_2,mediapipe,single,bright,128,128,0,0,1.000000,1190,186,937,0.580698,0.648880,0.599491,0.787395,48.566812,56.855650,65.474500,22.870712,20.590192,
SP_T_Yoga_1,mediapipe,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893795,0.892470,0.893795,0.998077,31.741378,30.804800,36.352900,31.920628,31.504619,
SP_T_Yoga_2,mediapipe,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917612,0.914819,0.917612,1.000000,39.077348,33.516800,58.534000,27.188507,25.590273,
MP_R_DudukBerdiri_1,blazepose,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453138,0.496289,0.456359,0.747467,29.389442,27.947700,37.396400,34.378612,34.025824,
MP_R_DudukBerdiri_2,blazepose,multi,dim,150,133,0,17,0.886667,1538,558,249,0.087171,0.000013,0.092033,0.161899,43.018129,45.189950,65.888100,24.866555,23.246013,
MP_R_Jongkok_1,blazepose,multi,dim,126,126,0,0,1.000000,1512,111,1337,0.710484,0.747081,0.710484,0.884259,33.159760,32.373750,39.642400,30.459433,30.157033,
MP_R_Jongkok_2,blazepose,multi,dim,139,137,0,2,0.985612,1668,286,1226,0.481212,0.491254,0.481212,0.735012,40.596220,34.615200,60.619500,26.475366,24.632835,
MP_R_PushUp_1,blazepose,multi,dim,77,76,0,1,0.987013,557,34,485,0.566718,0.601313,0.577195,0.870736,35.024179,32.512300,49.258700,29.343570,28.551704,
MP_R_PushUp_2,blazepose,multi,dim,91,74,0,17,0.813187,728,324,67,0.046907,0.017469,0.046907,0.092033,31.467151,31.056200,35.258200,31.899340,31.779172,
MP_R_Yoga_1,blazepose,multi,dim,182,182,0,0,1.000000,2361,25,2150,0.660344,0.662596,0.660053,0.910631,29.277776,27.858550,35.239800,34.480048,34.155599,
MP_R_Yoga_2,blazepose,multi,dim,173,158,0,15,0.913295,2249,407,1040,0.333970,0.138980,0.333970,0.462428,27.537137,27.378100,29.395700,36.443529,36.314596,
MP_T_DudukBerdiri_1,blazepose,multi,bright,148,148,0,0,1.000000,1771,49,1603,0.648399,0.686964,0.648009,0.905138,29.846840,27.681450,41.833000,34.327562,33.504385,
MP_T_DudukBerdiri_2,blazepose,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055633,0.000599,0.056492,0.091338,27.753431,27.519300,29.896500,36.077387,36.031581,
MP_T_Jongkok_1,blazepose,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811523,0.909387,0.811523,0.913194,31.636853,27.916150,40.483400,32.626712,31.608707,
MP_T_Jongkok_2,blazepose,multi,bright,208,145,63,0,0.697115,1740,264,685,0.216616,0.189612,0.216616,0.393678,30.312818,27.505800,40.643100,33.855782,32.989345,
MP_T_PushUp_1,blazepose,multi,bright,76,76,0,0,1.000000,532,15,505,0.779557,0.779448,0.780368,0.949248,42.149405,40.541400,49.431200,23.872618,23.725127,
MP_T_PushUp_2,blazepose,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074566,0.062480,0.074566,0.148321,34.250726,29.996300,43.017900,30.398895,29.196461,
MP_T_Yoga_1,blazepose,multi,bright,171,171,0,0,1.000000,2223,79,1706,0.615140,0.754812,0.615140,0.767431,40.577470,40.256800,42.706500,24.686915,24.644218,
MP_T_Yoga_2,blazepose,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547236,0.742995,0.547236,0.635247,28.229913,27.794700,29.777000,35.592621,35.423418,
SP_R_DudukBerdiri_1,blazepose,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473454,0.499239,0.473454,0.772727,27.702500,27.569000,29.369800,36.125120,36.097825,
P_R_DudukBerdiri_2,blazepose,single,dim,128,113,0,15,0.882812,1536,332,1091,0.526039,0.584653,0.526039,0.710286,29.793840,27.452550,43.028000,34.629368,33.563985,
SP_R_Jongkok_1,blazepose,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852832,0.860132,0.852832,0.993119,28.522706,27.919900,32.642500,35.280010,35.059788,
SP_R_Jongkok_2,blazepose,single,dim,169,169,0,0,1.000000,2028,274,1702,0.586684,0.591134,0.586684,0.839250,27.320907,27.229500,28.399700,36.614918,36.602007,
SP_R_PushUp_1,blazepose,single,dim,85,74,0,11,0.870588,647,127,479,0.432657,0.402457,0.470988,0.740340,28.674441,28.038900,39.659700,35.408090,34.874263,
SP_R_PushUp_2,blazepose,single,dim,130,96,0,34,0.738462,1214,518,559,0.342881,0.454187,0.356353,0.460461,27.178972,27.465600,40.580300,39.140700,36.793151,
SP_R_Yoga_1,blazepose,single,dim,115,115,0,0,1.000000,1487,59,1397,0.781808,0.835942,0.782476,0.939475,33.932437,28.346200,43.507800,30.882875,29.470326,
SP_R_Yoga_2,blazepose,single,dim,175,148,0,27,0.845714,2275,398,1852,0.697760,0.839652,0.697760,0.814066,25.323142,27.156300,28.301900,42.261937,39.489571,
SP_T_DudukBerdiri_1,blazepose,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824344,0.841592,0.824344,1.000000,28.002948,27.581950,30.821200,35.805423,35.710526,
SP_T_DudukBerdiri_2,blazepose,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761753,0.759317,0.761753,0.992537,27.400669,27.229350,28.911600,36.519311,36.495460,
SP_T_Jongkok_1,blazepose,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907155,0.901847,1.000000,27.557881,27.363650,29.159100,36.317094,36.287260,
SP_T_Jongkok_2,blazepose,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791071,0.862048,0.791071,0.953448,27.767399,27.597300,29.767900,36.049719,36.013456,
SP_T_PushUp_1,blazepose,single,bright,124,124,0,0,1.000000,998,15,979,0.850056,0.865601,0.851910,0.980962,27.391417,27.187500,28.257800,36.560221,36.507786,
SP_T_PushUp_2,blazepose,single,bright,128,128,0,0,1.000000,1190,186,937,0.580698,0.648880,0.599491,0.787395,27.639484,27.357400,29.467100,36.209094,36.180126,
SP_T_Yoga_1,blazepose,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893795,0.892470,0.893795,0.998077,27.841379,27.453700,29.295800,36.032278,35.917761,
SP_T_Yoga_2,blazepose,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917612,0.914819,0.917612,1.000000,27.300085,27.160950,28.115400,36.676697,36.629923,
MP_R_DudukBerdiri_1,movenet,multi,dim,121,121,0,0,1.000000,1283,243,458,0.130285,0.104461,0.127457,0.356976,50.344785,50.342500,52.102200,19.877983,19.863030,
MP_R_DudukBerdiri_2,movenet,multi,dim,150,150,0,0,1.000000,1538,922,45,0.009288,0.000090,0.009654,0.029259,50.445561,50.317800,52.851800,19.835762,19.823350,
MP_R_Jongkok_1,movenet,multi,dim,126,126,0,0,1.000000,1512,189,961,0.279305,0.285627,0.279305,0.635582,55.212348,54.298400,61.575700,18.190682,18.111890,
MP_R_Jongkok_2,movenet,multi,dim,139,139,0,0,1.000000,1668,469,766,0.251198,0.190767,0.251198,0.459233,52.845868,52.446100,55.877400,18.941476,18.922955,
MP_R_PushUp_1,movenet,multi,dim,77,77,0,0,1.000000,557,174,274,0.167511,0.157301,0.171091,0.491921,52.700760,52.621400,55.203700,18.988409,18.975059,
MP_R_PushUp_2,movenet,multi,dim,91,91,0,0,1.000000,728,136,0,0.000869,0.000248,0.000869,0.000000,52.940918,52.358600,56.690300,18.937555,18.888981,
MP_R_Yoga_1,movenet,multi,dim,182,182,0,0,1.000000,2361,1251,384,0.079306,0.071353,0.079147,0.162643,50.754126,50.414450,54.115000,19.728995,19.702832,
MP_R_Yoga_2,movenet,multi,dim,173,173,0,0,1.000000,2249,582,712,0.130922,0.103880,0.130922,0.316585,51.871597,50.961400,58.928400,19.356793,19.278373,
MP_T_DudukBerdiri_1,movenet,multi,bright,148,148,0,0,1.000000,1771,373,1057,0.319875,0.337255,0.319929,0.596838,52.665371,52.246150,55.633400,19.004937,18.987809,
